key,IsWinner,MMR,InGameLevel,Takedowns,KillingBlows,Assists,Deaths,HighestKillStreak,HeroDamage,SiegeDamage,Healing,SelfHealing,DamageTaken,ExperienceContribution,MercCampCaptures,date
117363378,1,10017,95,95,26,69,15,44,136994,142786,106749,13296,62829,42440,5,7/14/2017
117363378,0,10078,90,55,14,41,26,23,186919,147878,39158,7817,0,38814,8,7/14/2017
117526057,1,13839,100,83,26,57,13,54,106557,200838,17740,33289,74464,56099,26,7/14/2017
117526057,0,11882,90,45,13,32,26,20,121276,255979,666,21739,43305,41446,5,7/14/2017
121182039,1,9831,95,99,28,71,9,58,112575,257066,17897,28505,0,50324,15,7/14/2017
121182039,0,9219,85,29,9,20,28,20,80725,199539,4815,14474,0,37086,5,7/14/2017
117475459,1,8610,105,109,28,81,22,61,166590,212965,86493,5430,0,62106,15,7/14/2017
117475459,0,8611,100,83,22,61,29,40,156759,207817,54822,12472,0,57086,3,7/14/2017
118787813,1,12825,110,84,23,61,14,52,208248,412166,128376,18381,169578,74978,6,7/14/2017
118787813,0,12926,100,38,14,24,23,21,229342,314231,48701,39415,82507,54268,3,7/14/2017
118173454,1,11364,120,106,27,79,21,59,254205,670958,143620,43339,104012,94514,4,7/14/2017
118173454,0,11625,115,83,20,63,27,55,281422,506168,82984,5347,82866,80947,11,7/14/2017
117363382,1,9555,100,89,27,62,11,62,100025,230882,5961,0,87258,53503,26,7/14/2017
117363382,0,10298,85,35,9,25,29,14,120543,196054,21878,8067,41961,36460,5,7/14/2017
117684477,1,9870,125,104,35,69,36,36,237581,469576,33397,45755,0,104305,9,7/14/2017
117684477,0,10630,120,121,34,86,35,73,249666,450803,35102,28514,0,91522,6,7/14/2017
117363370,1,12771,90,33,12,21,6,30,121464,319125,35861,41405,54422,45774,13,7/14/2017
117363370,0,11513,80,26,6,20,12,19,95871,236289,45934,20858,90206,35393,2,7/14/2017
117451380,1,10742,105,77,20,57,7,42,197833,290530,73072,27671,63804,68022,15,7/14/2017
117451380,0,10331,100,23,7,16,20,15,132343,365432,66514,46080,76853,53270,4,7/14/2017
122270041,1,11080,95,60,16,42,4,58,194989,280846,54921,42453,118584,54715,9,7/14/2017
122270041,0,11408,80,15,4,10,19,14,154772,273623,106357,12427,108746,37758,3,7/14/2017
120346498,1,8212,100,72,26,46,13,40,155351,371641,22410,28934,37840,62455,6,7/14/2017
120346498,0,9211,80,37,13,24,26,19,126249,144648,17775,35406,99695,36894,4,7/14/2017
117789398,1,9848,100,104,26,77,9,62,127375,311290,0,17416,43952,56151,18,7/14/2017
117789398,0,9983,90,31,9,22,27,17,104038,360431,0,7866,53726,44553,8,7/14/2017
117363417,1,10039,105,87,22,65,10,58,208546,319501,66783,53039,142886,55958,18,7/14/2017
117363417,0,8400,100,33,10,23,23,16,190350,493599,87077,37220,140151,47593,0,7/14/2017
117363387,1,10970,105,80,28,52,14,38,181940,256192,0,35630,40971,66582,6,7/14/2017
117363387,0,10507,95,42,13,29,29,25,167403,268493,0,37879,64132,46982,3,7/14/2017
117363393,1,9645,110,114,34,80,28,38,191366,256041,0,41111,127480,73483,16,7/14/2017
117363393,0,8882,110,92,28,64,34,27,167973,296748,0,32625,118787,69916,32,7/14/2017
