key,HeroLevel,InGameLevel,Takedowns,KillingBlows,Assists,Deaths,HighestKillStreak,HeroDamage,SiegeDamage,Healing,SelfHealing,DamageTaken,ExperienceContribution,MercCampCaptures,date,type
Abathur,13,20,13,3,9,0,11,39358,109011,12307,849,0,16094,0,7/14/17,Specialist
Abathur,13,20,13,3,9,0,11,38427,105186,11957,816,0,15696,0,7/15/17,Specialist
Abathur,13,20,13,3,9,0,11,38798,106412,12253,806,0,15844,0,7/16/17,Specialist
Abathur,13,20,12,3,9,0,11,38331,106683,12426,806,0,15860,0,7/17/17,Specialist
Abathur,13,20,13,3,10,0,12,39201,108381,12843,780,0,16273,0,7/18/17,Specialist
Abathur,13,20,13,3,10,0,12,39297,108375,12877,804,0,16247,0,7/19/17,Specialist
Abathur,13,20,13,3,10,0,12,39370,108637,12901,802,0,16216,0,7/20/17,Specialist
Abathur,13,20,13,3,10,0,12,39247,106850,12838,836,0,16100,0,7/21/17,Specialist
Abathur,13,20,13,3,10,0,12,39401,107361,12895,815,0,16142,0,7/22/17,Specialist
Abathur,13,20,13,3,10,0,12,39270,107353,12754,811,0,16073,0,7/23/17,Specialist
Abathur,13,20,13,3,10,0,12,38977,107239,12838,815,0,16051,0,7/24/17,Specialist
Abathur,13,20,13,3,10,0,12,38640,107422,12613,818,0,16139,0,7/25/17,Specialist
Abathur,13,20,13,3,9,0,11,38265,105990,12371,787,0,15774,0,7/26/17,Specialist
Abathur,13,20,13,3,10,0,11,38566,106813,12309,831,0,15893,0,7/27/17,Specialist
Abathur,13,20,13,3,10,0,11,38671,108379,12414,827,0,16090,0,7/28/17,Specialist
Abathur,13,20,13,3,10,0,11,38466,107197,12044,821,0,15957,0,7/29/17,Specialist
Abathur,13,20,13,3,10,0,11,38202,107527,12139,829,0,15959,0,7/30/17,Specialist
Abathur,13,20,13,3,10,0,11,38834,106768,12388,833,0,15955,0,7/31/17,Specialist
Abathur,13,20,13,3,10,0,11,38609,107300,12439,866,0,15933,0,8/1/17,Specialist
Abathur,13,20,13,3,9,0,11,38225,106447,12129,807,0,15832,0,8/2/17,Specialist
Abathur,13,20,13,3,9,0,11,38312,107675,12332,823,0,15931,0,8/3/17,Specialist
Abathur,13,20,13,3,9,0,11,38356,106486,12530,831,0,15784,0,8/4/17,Specialist
Abathur,13,20,13,3,9,0,11,37854,106113,12163,806,0,15756,0,8/5/17,Specialist
Abathur,13,20,13,3,10,0,11,38172,106005,12275,861,0,15780,0,8/6/17,Specialist
Abathur,13,20,13,3,9,0,11,38264,106843,12391,850,0,15829,0,8/7/17,Specialist
Abathur,13,20,13,3,10,0,11,38496,105023,12456,861,0,15765,0,8/8/17,Specialist
Abathur,13,20,13,3,10,0,12,39159,106341,12459,833,0,16199,0,8/9/17,Specialist
Abathur,13,20,13,3,10,0,12,39052,108093,12257,836,0,16401,0,8/10/17,Specialist
Abathur,13,20,13,3,10,0,12,38874,107302,11925,798,0,16232,0,8/11/17,Specialist
Abathur,13,20,13,3,10,0,12,38642,105835,11984,804,0,16074,0,8/12/17,Specialist
Abathur,13,20,13,3,10,0,12,38493,105859,12088,811,0,16080,0,8/13/17,Specialist
Azmodan,12,20,11,3,8,3,7,42579,126343,243,2192,0,15483,1,7/14/17,Specialist
Azmodan,12,20,11,3,8,3,7,41904,125706,282,2082,0,15417,1,7/15/17,Specialist
Azmodan,12,20,11,3,8,3,7,41987,127517,322,2127,0,15616,1,7/16/17,Specialist
Azmodan,12,20,11,3,8,3,7,41260,127136,311,2074,0,15583,1,7/17/17,Specialist
Azmodan,12,20,12,3,8,3,7,42029,127535,343,2167,0,15666,1,7/18/17,Specialist
Azmodan,12,20,11,3,8,3,7,41558,128195,313,2048,0,15683,1,7/19/17,Specialist
Azmodan,12,20,12,3,8,3,7,41670,128135,309,2218,0,15766,1,7/20/17,Specialist
Azmodan,11,20,11,3,8,3,7,41064,126893,342,2164,0,15666,1,7/21/17,Specialist
Azmodan,11,20,12,3,8,3,7,41288,127510,287,2136,0,15732,1,7/22/17,Specialist
Azmodan,11,20,12,3,8,3,7,41380,128486,317,2129,0,15769,1,7/23/17,Specialist
Azmodan,11,20,12,3,8,3,7,41530,129434,303,2125,0,15891,1,7/24/17,Specialist
Azmodan,12,20,12,3,8,3,7,41243,128315,338,1973,0,15790,1,7/25/17,Specialist
Azmodan,12,20,11,3,8,3,7,41788,128565,299,1939,0,15640,1,7/26/17,Specialist
